cty_id,cand_id,vote_count
20,49,29
20,50,1419
20,51,94
20,52,296
20,53,22
20,54,900
20,55,383
20,56,20
20,57,20
20,58,31
20,59,17
20,60,3243
20,61,99
20,62,48
20,63,916
20,64,1405
20,65,592
21,0,319
21,1,3781
21,2,385
21,3,471
21,4,12111
21,5,363
21,6,4582
21,7,2913
21,8,9994
21,9,366
21,10,1188
21,11,464
21,12,952
21,13,944
21,14,771
21,15,465
21,16,430
21,17,1161
21,18,3409
21,19,1363
21,20,8158
21,21,7324
21,22,4327
21,23,1527
21,24,3613
21,25,5958
21,26,3938
21,27,26586
21,28,32348
21,29,11733
21,30,15122
21,31,10432
21,32,11915
21,33,1150
21,34,1246
21,35,2901
21,36,2363
21,37,2481
21,38,1272
21,39,522
21,40,321
21,41,483
21,42,2881
21,43,1373
21,44,15184
21,45,310
21,46,428
21,47,397
21,48,730
21,49,495
21,50,3873
21,51,2325
21,52,4748
21,53,572
21,54,8011
21,55,3661
21,56,909
21,57,270
21,58,1335
21,59,187
21,60,16464
21,61,3440
21,62,586
21,63,4977
21,64,14264
21,65,3538
22,0,27
22,1,253
22,2,32
22,3,45
22,4,1033
22,5,28
22,6,327
22,7,205
22,8,801
22,9,45
22,10,155
22,11,28
22,12,88
22,13,80
22,14,128
22,15,36
22,16,44
22,17,134
22,18,189
22,19,146
22,20,449
22,21,479
22,22,331
22,23,78
22,24,211
22,25,387
22,26,306
22,27,1611
22,28,2082
22,29,708
22,30,974
22,31,613
22,32,725
22,33,66
22,34,93
22,35,164
22,36,178
22,37,254
22,38,114
22,39,57
22,40,26
22,41,39
22,42,195
22,43,153
22,44,703
22,45,29
22,46,58
22,47,33
22,48,52
22,49,43
22,50,270
22,51,148
22,52,278
22,53,71
22,54,489
22,55,297
22,56,74
22,57,17
22,58,149
22,59,18
22,60,1006
22,61,327
22,62,48
22,63,291
22,64,815
22,65,272
23,0,0
23,1,18
23,2,4
23,3,1
23,4,35
23,5,2
23,6,11
23,7,5
23,8,28
23,9,1
23,10,1
23,11,2
23,12,1
23,13,1
23,14,1
23,15,1
23,16,4
23,17,0
23,18,14
23,19,0
23,20,401
23,21,28
23,22,413
23,23,10
23,24,13
23,25,16
23,26,23
23,27,520
23,28,525
23,29,85
23,30,468
23,31,45
23,32,65
23,33,4
23,34,4
23,35,25
23,36,8
23,37,0
23,38,1
23,39,0
23,40,3
23,41,2
23,42,2
23,43,7
23,44,34
23,45,0
23,46,5
23,47,1
23,48,0
23,49,0
23,50,25
23,51,3
23,52,14
23,53,1
23,54,32
23,55,21
23,56,0
23,57,1
23,58,2
23,59,0
23,60,455
23,61,7
23,62,1
23,63,22
23,64,429
23,65,18
24,0,13
24,1,7
24,2,0
24,3,4
24,4,4000
24,5,5
24,6,174
24,7,20
24,8,9325
24,9,5
24,10,49
24,11,4
24,12,81
24,13,98
24,14,6
24,15,16
24,16,16
24,17,24
24,18,233
24,19,150
24,20,9157
24,21,191
24,22,923
24,23,95
24,24,61
24,25,12045
24,26,61
24,27,11999
24,28,12403
24,29,9719
24,30,9794
24,31,8687
24,32,9518
24,33,179
24,34,20
24,35,5690
24,36,22
24,37,120
24,38,29
24,39,13
24,40,13
24,41,3
24,42,66
24,43,16
24,44,902
24,45,3
24,46,12
24,47,8
24,48,31
24,49,19
24,50,17
24,51,24
24,52,87
24,53,10
24,54,510
24,55,119
24,56,25
24,57,20
24,58,23
24,59,14
24,60,10812
24,61,408
24,62,16
24,63,307
24,64,9822
24,65,531
25,0,46
25,1,153
25,2,19
25,3,19
25,4,824
25,5,66
25,6,434
25,7,124
25,8,607
25,9,19
25,10,60
25,11,18
25,12,37
25,13,38
25,14,106
25,15,78
25,16,38
25,17,30
25,18,695
25,19,89
25,20,6754
25,21,7645
25,22,488
25,23,6737
25,24,131
25,25,348
25,26,196
25,27,11022
25,28,10577
25,29,4208
25,30,9597
25,31,7755
25,32,8461
25,33,139
25,34,75
25,35,168
25,36,136
25,37,32
25,38,2342
25,39,240
25,40,17
25,41,17
25,42,4139
25,43,36
25,44,471
25,45,12
25,46,31
25,47,27
25,48,176
25,49,37
25,50,294
25,51,232
25,52,246
25,53,47
25,54,2526
25,55,164
25,56,31
25,57,12
25,58,76
25,59,20
25,60,8433
25,61,351
25,62,195
25,63,7606
25,64,7689
25,65,278
26,0,68
26,1,563
26,2,82
26,3,132
26,4,2480
26,5,96
26,6,888
26,7,537
26,8,1913
26,9,100
26,10,295
26,11,108
26,12,169
26,13,184
26,14,217
26,15,118
26,16,112
26,17,334
26,18,458
26,19,306
26,20,2042
26,21,1545
26,22,755
26,23,216
26,24,587
26,25,970
26,26,815
26,27,5057
26,28,6322
26,29,2213
26,30,2829
26,31,1571
26,32,1974
26,33,152
26,34,227
26,35,710
26,36,393
26,37,830
26,38,349
26,39,111
26,40,66
26,41,87
26,42,464
26,43,271
26,44,2986
26,45,83
26,46,112
26,47,100
26,48,225
26,49,89
26,50,543
26,51,428
26,52,749
26,53,142
26,54,1294
26,55,637
26,56,257
26,57,59
26,58,280
26,59,32
26,60,2908
26,61,996
26,62,164
26,63,809
26,64,2377
26,65,670
27,0,30
27,1,133
27,2,39
27,3,56
27,4,314
27,5,38
27,6,232
27,7,194
27,8,236
27,9,83
27,10,88
27,11,67
27,12,51
27,13,36
27,14,56
27,15,63
27,16,70
27,17,66
27,18,107
27,19,59
27,20,211
27,21,236
27,22,192
27,23,53
27,24,156
27,25,323
27,26,206
27,27,1244
27,28,1553
27,29,669
27,30,629
27,31,413
27,32,462
27,33,74
27,34,66
27,35,178
27,36,143
27,37,111
27,38,61
27,39,84
27,40,50
27,41,44
27,42,99
27,43,72
27,44,211
27,45,39
27,46,53
27,47,71
27,48,74
27,49,62
27,50,138
27,51,145
27,52,215
27,53,86
27,54,235
27,55,114
27,56,72
27,57,33
27,58,80
27,59,23
27,60,572
27,61,139
27,62,61
27,63,284
27,64,403
27,65,166
28,0,5
28,1,64
28,2,13
28,3,7
28,4,179
28,5,17
28,6,95
28,7,51
28,8,158
28,9,6
28,10,29
28,11,13
28,12,20
28,13,11
28,14,18
28,15,11
28,16,11
28,17,23
28,18,35
28,19,27
28,20,173
28,21,136
28,22,89
28,23,31
28,24,97
28,25,125
28,26,88
28,27,875
28,28,1050
28,29,380
28,30,450
28,31,318
28,32,370
28,33,15
28,34,33
28,35,45
28,36,52
28,37,34
28,38,36
28,39,11
28,40,8
28,41,12
28,42,86
28,43,30
28,44,255
28,45,6
28,46,11
28,47,8
28,48,11
28,49,12
28,50,48
28,51,51
28,52,93
28,53,24
28,54,261
28,55,63
28,56,22
28,57,9
28,58,24
28,59,3
28,60,488
28,61,47
28,62,10
28,63,242
28,64,459
28,65,149
29,0,6
29,1,15
29,2,10
29,3,8
29,4,79
29,5,8
29,6,41
29,7,46
29,8,52
29,9,12
29,10,11
29,11,12
29,12,7
29,13,7
29,14,7
29,15,16
29,16,11
29,17,11
29,18,28
29,19,11
29,20,40
29,21,39
29,22,61
29,23,9
29,24,20
29,25,52
29,26,46
29,27,138
29,28,146
29,29,89
29,30,68
29,31,59
29,32,71
29,33,9
29,34,12
29,35,27
29,36,26
29,37,12
29,38,8
29,39,10
29,40,5
29,41,9
29,42,27
29,43,5
29,44,52
29,45,12
29,46,9
29,47,12
29,48,9
29,49,12
29,50,29
29,51,18
29,52,38
29,53,18
29,54,40
29,55,22
29,56,11
29,57,3
29,58,13
29,59,2
29,60,56
29,61,15
29,62,8
29,63,37
29,64,59
29,65,24
30,0,76
30,1,344
30,2,71
30,3,63
30,4,1544
30,5,50
30,6,525
30,7,334
30,8,1268
30,9,38
30,10,343
30,11,39
30,12,348
30,13,333
30,14,154
30,15,68
30,16,260
30,17,191
30,18,385
30,19,322
30,20,1480
30,21,1468
30,22,612
30,23,278
30,24,341
30,25,1634
30,26,534
30,27,6555
30,28,7205
30,29,4274
30,30,4691
30,31,3458
30,32,3909
30,33,101
30,34,1493
30,35,261
30,36,273
30,37,526
30,38,392
30,39,61
30,40,54
30,41,85
30,42,528
30,43,322
30,44,908
30,45,32
30,46,63
30,47,74
30,48,166
30,49,74
30,50,329
30,51,679
30,52,379
30,53,71
30,54,2153
30,55,322
30,56,232
30,57,38
30,58,403
30,59,37
30,60,4166
30,61,599
30,62,97
30,63,2084
30,64,3706
30,65,449
31,0,13
31,1,73
31,2,7
31,3,4
31,4,560
31,5,4
31,6,333
31,7,296
31,8,579
31,9,1
31,10,23
31,11,22
31,12,16
31,13,16
31,14,8
31,15,12
31,16,8
31,17,65
31,18,362
31,19,20
31,20,644
31,21,439
31,22,511
31,23,22
31,24,274
31,25,434
31,26,375
31,27,2887
31,28,2821
31,29,1944
31,30,2104
31,31,1774
31,32,1870
31,33,11
31,34,302
31,35,450
31,36,291
31,37,184
31,38,55
31,39,30
31,40,4
31,41,2
31,42,39
31,43,32
31,44,1110
31,45,10
31,46,34
31,47,65
31,48,106
31,49,25
31,50,320
31,51,277
31,52,29
31,53,4
31,54,1657
31,55,172
31,56,14
31,57,2
31,58,15
31,59,3
31,60,1897
31,61,201
31,62,15
31,63,824
31,64,2007
31,65,134
32,0,64
32,1,681
32,2,84
32,3,90
32,4,2682
32,5,119
32,6,1469
32,7,2275
32,8,2280
32,9,69
32,10,273
32,11,63
32,12,164
32,13,257
32,14,153
32,15,140
32,16,81
32,17,320
32,18,1005
32,19,448
32,20,2975
32,21,5408
32,22,3178
32,23,1004
32,24,694
32,25,3084
32,26,2743
32,27,18104
32,28,18915
32,29,10230
32,30,11878
32,31,8117
32,32,10075
32,33,184
32,34,2020
32,35,3213
32,36,943
32,37,982
32,38,281
32,39,90
32,40,111
32,41,106
32,42,2380
32,43,402
32,44,1723
32,45,57
32,46,143
32,47,206
32,48,176
32,49,102
32,50,3331
32,51,936
32,52,675
32,53,102
32,54,6491
32,55,1059
32,56,339
32,57,57
32,58,265
32,59,48
32,60,12747
32,61,1189
32,62,293
32,63,5541
32,64,10558
32,65,1637
33,0,206
33,1,1654
33,2,234
33,3,317
33,4,4850
33,5,263
33,6,2449
33,7,1340
33,8,3365
33,9,311
33,10,676
33,11,274
33,12,539
33,13,473
33,14,410
33,15,371
33,16,291
33,17,632
33,18,1419
33,19,794
33,20,2851
33,21,2823
33,22,1996
33,23,549
33,24,1598
33,25,2531
33,26,2192
33,27,11295
33,28,14054
33,29,4998
33,30,6191
33,31,4147
33,32,5310
33,33,511
33,34,710
33,35,1320
33,36,1335
33,37,1003
33,38,685
33,39,356
33,40,264
33,41,351
33,42,1221
33,43,753
33,44,4724
33,45,176
33,46,281
33,47,259
33,48,396
33,49,316
33,50,1358
33,51,1204
33,52,2151
33,53,433
33,54,2950
33,55,1482
33,56,554
33,57,196
33,58,581
